"t" "m" "g" "y"
"1" 20 0.4 120 0
"2" 25 0.4 120 0
"3" 30 0.4 120 1
"4" 20 0.7 120 1
"5" 25 0.7 120 0
"6" 30 0.7 120 0
"7" 20 1 120 0
"8" 25 1 120 0
"9" 30 1 120 0
"10" 20 0.4 140 1
"11" 25 0.4 140 0
"12" 30 0.4 140 0
"13" 20 0.7 140 0
"14" 25 0.7 140 1
"15" 30 0.7 140 0
"16" 20 1 140 1
"17" 25 1 140 0
"18" 30 1 140 0
"19" 20 0.4 160 0
"20" 25 0.4 160 1
"21" 30 0.4 160 1
"22" 20 0.7 160 1
"23" 25 0.7 160 0
"24" 30 0.7 160 1
"25" 20 1 160 1
"26" 25 1 160 0
"27" 30 1 160 0
"28" 20 0.4 120 1
"29" 25 0.4 120 1
"30" 30 0.4 120 0
"31" 20 0.7 120 0
"32" 25 0.7 120 0
"33" 30 0.7 120 0
"34" 20 1 120 1
"35" 25 1 120 1
"36" 30 1 120 0
"37" 20 0.4 140 0
"38" 25 0.4 140 1
"39" 30 0.4 140 0
"40" 20 0.7 140 0
"41" 25 0.7 140 1
"42" 30 0.7 140 0
"43" 20 1 140 0
"44" 25 1 140 1
"45" 30 1 140 1
"46" 20 0.4 160 1
"47" 25 0.4 160 0
"48" 30 0.4 160 0
"49" 20 0.7 160 1
"50" 25 0.7 160 1
"51" 30 0.7 160 1
"52" 20 1 160 1
"53" 25 1 160 0
"54" 30 1 160 1
"55" 20 0.4 120 0
"56" 25 0.4 120 0
"57" 30 0.4 120 0
"58" 20 0.7 120 0
"59" 25 0.7 120 1
"60" 30 0.7 120 0
"61" 20 1 120 0
"62" 25 1 120 1
"63" 30 1 120 1
"64" 20 0.4 140 0
"65" 25 0.4 140 0
"66" 30 0.4 140 0
"67" 20 0.7 140 0
"68" 25 0.7 140 1
"69" 30 0.7 140 0
"70" 20 1 140 0
"71" 25 1 140 0
"72" 30 1 140 1
"73" 20 0.4 160 0
"74" 25 0.4 160 0
"75" 30 0.4 160 0
"76" 20 0.7 160 0
"77" 25 0.7 160 0
"78" 30 0.7 160 1
"79" 20 1 160 0
"80" 25 1 160 1
"81" 30 1 160 0
"82" 20 0.4 120 0
"83" 25 0.4 120 1
"84" 30 0.4 120 0
"85" 20 0.7 120 0
"86" 25 0.7 120 1
"87" 30 0.7 120 1
"88" 20 1 120 0
"89" 25 1 120 0
"90" 30 1 120 1
"91" 20 0.4 140 1
"92" 25 0.4 140 0
"93" 30 0.4 140 0
"94" 20 0.7 140 0
"95" 25 0.7 140 0
"96" 30 0.7 140 1
"97" 20 1 140 0
"98" 25 1 140 0
"99" 30 1 140 0
"100" 20 0.4 160 1
"101" 25 0.4 160 0
"102" 30 0.4 160 1
"103" 20 0.7 160 1
"104" 25 0.7 160 1
"105" 30 0.7 160 0
"106" 20 1 160 0
"107" 25 1 160 0
"108" 30 1 160 0
"109" 20 0.4 120 1
"110" 25 0.4 120 1
"111" 30 0.4 120 1
"112" 20 0.7 120 0
"113" 25 0.7 120 0
"114" 30 0.7 120 1
"115" 20 1 120 1
"116" 25 1 120 1
"117" 30 1 120 1
"118" 20 0.4 140 1
"119" 25 0.4 140 1
"120" 30 0.4 140 1
"121" 20 0.7 140 0
"122" 25 0.7 140 0
"123" 30 0.7 140 1
"124" 20 1 140 1
"125" 25 1 140 0
"126" 30 1 140 0
"127" 20 0.4 160 1
"128" 25 0.4 160 0
"129" 30 0.4 160 1
"130" 20 0.7 160 1
"131" 25 0.7 160 0
"132" 30 0.7 160 0
"133" 20 1 160 1
"134" 25 1 160 1
"135" 30 1 160 0
"136" 20 0.4 120 1
"137" 25 0.4 120 1
"138" 30 0.4 120 0
"139" 20 0.7 120 0
"140" 25 0.7 120 0
"141" 30 0.7 120 0
"142" 20 1 120 1
"143" 25 1 120 0
"144" 30 1 120 0
"145" 20 0.4 140 0
"146" 25 0.4 140 1
"147" 30 0.4 140 0
"148" 20 0.7 140 1
"149" 25 0.7 140 1
"150" 30 0.7 140 1
"151" 20 1 140 0
"152" 25 1 140 1
"153" 30 1 140 1
"154" 20 0.4 160 0
"155" 25 0.4 160 0
"156" 30 0.4 160 0
"157" 20 0.7 160 1
"158" 25 0.7 160 1
"159" 30 0.7 160 1
"160" 20 1 160 1
"161" 25 1 160 0
"162" 30 1 160 1
"163" 20 0.4 120 0
"164" 25 0.4 120 0
"165" 30 0.4 120 0
